id_puerto;nom_puerto;abreviatura_pais;geometry
ESPAL;Palamos;ESP;POINT (3.1173 41.85463386800001)
FRTRE;Treguier;FRA;POINT (-3.229199999999992 48.79173386799999)
ESROT;Rota;ESP;POINT (-6.352800000000002 36.62093386800001)
ESADR;Adra;ESP;POINT (-3.014099999999985 36.75033386799998)
ITSIR;Siracusa;ITA;POINT (15.29329999999999 37.060733868)
DKGRE;Grenaa;DNK;POINT (10.92570000000001 56.41053386800002)
NORIS;Risor;NOR;POINT (9.238499999999988 58.71413386799998)
SEBAA;Balsta;SWE;POINT (17.55970000000002 59.55453386800002)
PEPCL;Pucallpa;PER;POINT (-74.51850000000002 -8.395766132000006)
FIIMA;Imatra;FIN;POINT (28.78190000000001 61.22463386800001)
HTGVS;Gonaives;HTI;POINT (-72.69639999999998 19.45113386999998)
ITLIV;Livorno;ITA;POINT (10.31470000000002 43.57633386800001)
MGDWB;Soalala;MDG;POINT (45.32824332299998 -16.10476559699998)
PHSFE;San Fernando;PHL;POINT (120.300972069 16.60875988599997)
MGWVK;Manakara;MDG;POINT (48.02051330900002 -22.14144467199998)
AEJED;Jebel Dhanna;ARE;POINT (52.62451874099997 24.18615864200001)
VNVCA;Can Tho;VNM;POINT (105.7869 10.035133868)
USDRW;De Pere;USA;POINT (-88.0659 44.447733868)
USLAJ;L'Anse;USA;POINT (-88.45179999999999 46.75173386799997)
USMTW;Manitowoc;USA;POINT (-87.63690000000003 44.10573386800002)
CABAT;Bathurst;CAN;POINT (-65.65620000000001 47.61763386799998)
PGRAB;Rabaul;PNG;POINT (152.1611 -4.205066132000013)
CADIG;Digby;CAN;POINT (-65.75560000000002 44.61763386799998)
USJNU;Juneau;USA;POINT (-134.4176 58.30313386799997)
USYAK;Yakutat;USA;POINT (-139.7351 59.54633386799998)
USTYE;Tyonek;USA;POINT (-151.1413 61.06393386799999)
USHAH;Hahnville;USA;POINT (-90.4117 29.98323386800001)
USNCM;Norco;USA;POINT (-90.41180000000003 29.99403386799997)
USBPT;Beaumont;USA;POINT (-94.08780000000002 30.07313386800001)
USSAV;Savannah;USA;POINT (-81.05579999999998 32.02353386800002)
USGGE;Georgetown;USA;POINT (-79.29719999999998 33.36953386800002)
USBAL;Baltimore;USA;POINT (-76.58080000000001 39.27273386799999)
USGDR;Gardiner;USA;POINT (-124.1179 43.71733386800003)
CAPHW;Port Hawkesbury;CAN;POINT (-61.36419999999998 45.61313386799998)
USLOG;Longview;USA;POINT (-122.8997 46.18253386800001)
USPMT;Palmetto;USA;POINT (-82.54730000000001 27.502533868)
CACHM;Chemainus;CAN;POINT (-123.7091 48.91683386800003)
USPOA;Port Arthur;USA;POINT (-93.93439999999998 29.86793386800002)
USMOB;Mobile;USA;POINT (-88.0437 30.65523386799998)
USCGE;Cambridge;USA;POINT (-76.07049999999998 38.56733386799999)
USSLM;Salem;USA;POINT (-70.88810000000001 42.50913386799999)
CAPAR;Parrsboro;CAN;POINT (-64.33019999999999 45.39673386800001)
CAPMO;Port Moody;CAN;POINT (-122.8632 49.28213386800002)
CAOFA;Ocean Falls;CAN;POINT (-127.6953 52.34593386799997)
CABLC;Bella Coola;CAN;POINT (-126.7608 52.36813386799997)
USHNS;Haines;USA;POINT (-135.4236 59.249133868)
IEFOV;Foynes;IRL;POINT (-9.105700000000013 52.61593386800001)
DKMRS;Marstal;DNK;POINT (10.52569999999997 54.851933868)
GBSUN;Sunderland;GBR;POINT (-1.358299999999986 54.91193386800001)
