omimatricu;nombrenave;codigo_pais;id_agencia_arribo;codigotiponave;anoconstru;trb;dwt;eslora
BXF65587;RIBL AN DOUR;FRA;900.342.455-1;516;2000;15;0;13.04
BXYACHTS036;GARLIX;DEU;900.025.233-2;516;2000;13.29;0;13.29
BZ290;MAD ?O;FRA;900.342.455-1;516;2000;17.6;0;11.88
BZ747024301;BAHIA I;FRA;73.072.533;516;2000;38;0;13.13
C10252;MATAVAI;FRA;900.025.233-2;516;2000;20.8;0;12.5
C-11931-4;"S.Y. ""HINA I TAK""";FRA;806.013.086-3;516;2000;34.21;0;16.36
C12735-0;MICAMALE;ITA;900.473.090-7;516;2000;18;0;15.26
C12735-D;MICAMALE;ITA;806.013.086-3;516;2000;18;0;15.24
C12985;MELIMILA;FRA;891.701.623-1;516;2000;8.12;0;12.6
C21938W;ULYS;FRA;73.072.533;516;2000;15;0;12.1
C2965;MYTHYA;FIN;900.504.340-8;516;2000;7;0;10.8
C3267;SALIMA II;FRA;900.342.455-1;516;2000;13.61;0;11.8
C3506;GALAWA II;FRA;73.072.533;516;2000;38.5;0;13.3
C35095X;SILOE BONE;FRA;900.342.455-1;516;2000;24.61;0;12.5
C3979;AVEL DRO;FRA;73.072.533;516;2000;13.64;0;11
C4367;CAP A CAP;FRA;900.025.233-2;516;2000;15;0;13
C54530;KARACOOL;FRA;73.072.533;516;2000;10;0;16.24
C54550;KARACOOL;FRA;900.504.340-8;516;2000;10;0;16.24
C552;MANARA;FRA;900.342.455-1;516;2000;15;0;11.98
C600;CBMS ACE;CCK;900.824.728-4;1;2000;2401;17;76
C61170;OXIGEN;FRA;73.072.533;516;2000;41.96;0;14.3
C6123;NIRVELLI;FRA;900.371.443-5;516;2000;12.12;0;11.28
C612300;NIRVELLI;FRA;900.290.842-2;516;2000;12.12;0;11.3
C75580632;FREGAT`LA;FRA;900.342.455-1;516;2000;10;0;13.19
CA-0004;ARCANGEL MIGUEL;VEN;900.735.620-6;119;2000;83.72;0;18.72
CA5709;MYTHOS;CHL;900.025.233-2;516;2000;21.13;0;14.6
CA-657063401;OXYGEN;FRA;900.342.455-1;516;2000;41.96;5;14.3
CAM781;BABETTE;NOR;900.025.233-2;516;2000;6.5;0;9.7
CBY819;WILD ONE;NOR;901.212.191-7;516;2000;6.7;0;12.25
CC037024301;BELLIGA V;FRA;73.072.533;516;2000;26.47;0;14.73
CC306-4630-1;ZAO;FRA;900.342.455-1;516;2000;14.45;0;11.88
CC480007501;ARC-EN-CIEL;FRA;900.342.455-1;516;2000;15.47;0;11.5
CC-6146AH;HANOLEE;USA;900.504.340-8;516;2000;22;0;18
CC6696;BELUGA  V;FRA;900.504.340-8;516;2000;26.47;0;14.75
CCD99247;FOLLIGOU;FRA;900.025.233-2;516;2000;12;0;12.65
CCP-4489-2016;EL CORSARIO;GTM;900.342.455-1;810;2000;2;3;7.62
CD279024301;DJILY;FRA;900.371.443-5;516;2000;100;0;12
CE0850369;DANTA;FRA;73.072.533;516;2000;18;0;9.24
CE477015901;ANIVUNGA;FRA;900.025.233-2;516;2000;20;0;13.95
CE795063401;PEN KALET;FRA;900.342.455-1;516;2000;13.47;0;11.99
CEODF103640744;EL SPLENDOR;COL;827.000.681-6;99;2000;25.9;35.2;21.3
CF0154HK;MARY ELLEN;USA;900.342.455-1;516;2000;6;4;9.45
CF0187SV;NEHALENNIA;USA;73.072.533;516;2000;6.5;7;10.35
CF1987FJ;J.D.;USA;900.342.455-1;516;2000;7;0;8.3
CF2455SC;WALKING ON WATER;USA;73.072.533;516;2000;10;0;12.5
CF25146B;VITESSE;USA;73.072.533;516;2000;20;0;8.2
CF2514GB;VITESSE;USA;900.504.340-8;516;2000;20;0;8.25
CF2648RD;CO?ARETO;USA;900.342.455-1;516;2000;4;0;8.54
CF3207UC;DELPHIN SOLO;USA;900.342.455-1;516;2000;19;0;13.72
CF32107UC;S/Y DELPHIN SOLO;USA;900.342.455-1;516;2000;19;0;13.72
CF3592AS;VENTO DEA;USA;900.342.455-1;516;2000;6.65;0;8.55
CF4458HC;KNEE DEEP;USA;73.072.533;516;2000;18;0;12.66
CF-6187-UY;RUNAWAY;USA;900.504.340-8;516;2000;7;0;11
CF6843FX;DREAM WEAVER;USA;900.504.340-8;516;2000;4.25;0;9.5
CF707;LEO MINOR;FRA;73.072.533;516;2000;15.74;0;11.75
CF708063401;IONA;FRA;900.342.455-1;516;2000;27.15;0;12.37
CF7287GD;HIPPOSCAMP;USA;900.371.443-5;516;2000;12;0;13
CF7287JD;HOPPOSCAMP;USA;73.072.533;516;2000;12;0;13
CF7713SW;MAKOA KAI HEELE;USA;900.504.340-8;516;2000;35;0;15.24
CF8014512;CHASING THE SUN;USA;830.511.560-7;516;2000;9;0;9.14
CF8014SR;CHASING THE SUN;USA;900.473.090-7;516;2000;9;0;9.14
